user_id,signup_date,city,device,age_group,gender
1,2023-11-24,Delhi,Mobile,35-44,Female
2,2023-02-27,Kolkata,Mobile,18-24,Male
3,2023-01-13,Hyderabad,Mobile,25-34,Female
4,2023-05-21,Chennai,Mobile,25-34,Male
5,2023-05-06,Mumbai,Mobile,25-34,Female
6,2023-04-25,Mumbai,Desktop,35-44,Female
7,2023-03-13,Mumbai,Mobile,45+,Female
8,2023-02-22,Pune,Mobile,18-24,Male
9,2023-12-13,Chennai,Desktop,35-44,Female
10,2023-10-07,Hyderabad,Desktop,18-24,Male
11,2023-02-14,Mumbai,Desktop,25-34,Male
12,2023-10-30,Kolkata,Desktop,18-24,Female
13,2023-08-05,Pune,Desktop,18-24,Female
14,2023-01-17,Delhi,Mobile,25-34,Female
15,2023-01-16,Mumbai,Mobile,25-34,Male
16,2023-02-17,Mumbai,Mobile,35-44,Female
17,2023-04-22,Delhi,Mobile,35-44,Male
18,2023-04-30,Bangalore,Mobile,45+,Male
19,2023-09-16,Bangalore,Mobile,25-34,Female
20,2023-11-05,Delhi,Mobile,18-24,Male
21,2023-01-14,Chennai,Mobile,25-34,Female
22,2023-10-15,Mumbai,Mobile,25-34,Male
23,2023-04-12,Delhi,Desktop,25-34,Male
24,2023-11-29,Delhi,Mobile,25-34,Female
25,2023-12-26,Bangalore,Desktop,25-34,Female
26,2023-10-07,Hyderabad,Mobile,25-34,Male
27,2023-08-03,Mumbai,Desktop,18-24,Male
28,2023-04-23,Bangalore,Desktop,18-24,Female
29,2023-08-18,Chennai,Desktop,18-24,Male
30,2023-10-29,Mumbai,Desktop,18-24,Male
31,2023-05-23,Chennai,Mobile,35-44,Female
32,2023-01-04,Mumbai,Tablet,18-24,Male
33,2023-03-23,Mumbai,Desktop,35-44,Other
34,2023-12-24,Kolkata,Desktop,25-34,Female
35,2023-08-05,Kolkata,Desktop,18-24,Other
36,2023-06-24,Hyderabad,Mobile,35-44,Male
37,2023-05-23,Delhi,Desktop,25-34,Other
38,2023-03-21,Mumbai,Mobile,18-24,Male
39,2023-04-21,Chennai,Mobile,35-44,Male
40,2023-06-22,Bangalore,Mobile,18-24,Male
41,2023-02-22,Mumbai,Desktop,18-24,Male
42,2023-02-17,Bangalore,Mobile,35-44,Male
43,2023-07-14,Mumbai,Mobile,35-44,Male
44,2023-02-19,Pune,Mobile,18-24,Male
45,2023-07-03,Delhi,Desktop,18-24,Male
46,2023-06-26,Chennai,Mobile,35-44,Female
47,2023-11-06,Delhi,Mobile,25-34,Male
48,2023-05-16,Bangalore,Mobile,18-24,Female
49,2023-01-23,Bangalore,Desktop,25-34,Female
50,2023-08-24,Mumbai,Tablet,45+,Female
51,2023-10-02,Kolkata,Desktop,18-24,Male
52,2023-03-05,Hyderabad,Mobile,35-44,Other
53,2023-07-13,Kolkata,Desktop,25-34,Female
54,2023-02-10,Pune,Mobile,25-34,Other
55,2023-10-10,Chennai,Mobile,35-44,Male
56,2023-05-31,Kolkata,Mobile,45+,Female
57,2023-11-18,Mumbai,Mobile,18-24,Female
58,2023-11-13,Mumbai,Desktop,18-24,Male
59,2023-07-05,Mumbai,Mobile,45+,Female
60,2023-10-23,Delhi,Mobile,25-34,Female
61,2023-04-09,Delhi,Mobile,25-34,Female
62,2023-12-27,Delhi,Mobile,25-34,Male
63,2023-02-05,Pune,Mobile,35-44,Female
64,2023-01-24,Delhi,Mobile,35-44,Male
65,2023-12-05,Delhi,Mobile,45+,Female
66,2023-04-27,Bangalore,Desktop,25-34,Male
67,2023-05-29,Mumbai,Desktop,18-24,Male
68,2023-02-10,Hyderabad,Desktop,25-34,Male
69,2023-04-30,Mumbai,Mobile,25-34,Female
70,2023-02-21,Kolkata,Desktop,25-34,Other
71,2023-07-14,Hyderabad,Tablet,25-34,Male
72,2023-05-23,Mumbai,Desktop,18-24,Male
73,2023-08-21,Mumbai,Mobile,25-34,Male
74,2023-11-22,Hyderabad,Mobile,25-34,Female
75,2023-07-06,Hyderabad,Tablet,35-44,Male
76,2023-03-25,Hyderabad,Mobile,25-34,Male
77,2023-07-09,Hyderabad,Mobile,18-24,Female
78,2023-07-01,Mumbai,Mobile,25-34,Male
79,2023-04-18,Delhi,Mobile,35-44,Male
80,2023-12-10,Mumbai,Tablet,25-34,Male
81,2023-05-17,Pune,Mobile,25-34,Female
82,2023-12-26,Chennai,Mobile,25-34,Female
83,2023-12-16,Delhi,Desktop,18-24,Female
84,2023-11-28,Mumbai,Mobile,35-44,Male
85,2023-02-06,Delhi,Mobile,18-24,Male
86,2023-11-08,Delhi,Mobile,25-34,Male
87,2023-11-22,Hyderabad,Desktop,18-24,Female
88,2023-03-29,Chennai,Mobile,18-24,Female
89,2023-10-01,Pune,Desktop,25-34,Female
90,2023-05-06,Bangalore,Mobile,25-34,Male
91,2023-03-25,Mumbai,Mobile,35-44,Female
92,2023-08-25,Hyderabad,Mobile,35-44,Female
93,2023-07-14,Hyderabad,Mobile,35-44,Male
94,2023-05-19,Bangalore,Desktop,25-34,Female
95,2023-11-24,Hyderabad,Desktop,25-34,Female
96,2023-12-19,Bangalore,Mobile,25-34,Female
97,2023-10-13,Bangalore,Mobile,25-34,Female
98,2023-04-23,Bangalore,Desktop,25-34,Male
99,2023-12-17,Mumbai,Mobile,45+,Female
100,2023-06-16,Mumbai,Mobile,18-24,Female
101,2023-01-29,Mumbai,Tablet,45+,Male
102,2023-04-28,Chennai,Mobile,18-24,Male
103,2023-01-17,Delhi,Tablet,25-34,Male
104,2023-06-11,Bangalore,Mobile,18-24,Male
105,2023-07-25,Pune,Desktop,25-34,Female
106,2023-05-18,Delhi,Mobile,18-24,Male
107,2023-02-03,Bangalore,Mobile,35-44,Male
108,2023-04-19,Hyderabad,Mobile,35-44,Male
109,2023-10-18,Delhi,Mobile,25-34,Male
110,2023-06-11,Mumbai,Mobile,25-34,Male
111,2023-04-19,Delhi,Mobile,45+,Male
112,2023-12-02,Mumbai,Mobile,35-44,Male
113,2023-09-13,Kolkata,Desktop,25-34,Female
114,2023-07-22,Hyderabad,Mobile,35-44,Male
115,2023-11-26,Chennai,Mobile,25-34,Female
116,2023-08-23,Pune,Mobile,25-34,Male
117,2023-03-15,Hyderabad,Mobile,25-34,Male
118,2023-05-16,Mumbai,Mobile,25-34,Male
119,2023-03-13,Pune,Mobile,18-24,Male
120,2023-05-07,Bangalore,Desktop,25-34,Male
121,2023-10-15,Hyderabad,Mobile,25-34,Male
122,2023-10-03,Pune,Mobile,45+,Male
123,2023-05-15,Delhi,Desktop,45+,Female
124,2023-10-27,Mumbai,Desktop,25-34,Male
125,2023-08-08,Delhi,Mobile,25-34,Female
126,2023-10-26,Bangalore,Desktop,18-24,Female
127,2023-07-24,Hyderabad,Mobile,25-34,Female
128,2023-07-05,Pune,Desktop,18-24,Male
129,2023-04-23,Mumbai,Mobile,18-24,Female
130,2023-03-12,Bangalore,Desktop,25-34,Male
131,2023-09-18,Bangalore,Tablet,25-34,Male
132,2023-09-10,Delhi,Mobile,18-24,Male
133,2023-02-16,Mumbai,Mobile,35-44,Female
134,2023-01-25,Delhi,Mobile,25-34,Male
135,2023-02-26,Kolkata,Mobile,18-24,Female
136,2023-03-20,Delhi,Mobile,18-24,Male
137,2023-11-18,Bangalore,Mobile,18-24,Female
138,2023-03-23,Hyderabad,Mobile,18-24,Female
139,2023-12-15,Delhi,Mobile,35-44,Female
140,2023-08-05,Kolkata,Mobile,25-34,Male
141,2023-11-02,Kolkata,Mobile,35-44,Female
142,2023-02-02,Delhi,Mobile,18-24,Female
143,2023-07-17,Bangalore,Desktop,25-34,Male
144,2023-07-15,Delhi,Mobile,25-34,Male
145,2023-11-02,Delhi,Mobile,25-34,Female
146,2023-08-28,Mumbai,Desktop,25-34,Male
147,2023-09-28,Chennai,Desktop,45+,Female
148,2023-05-09,Bangalore,Mobile,18-24,Male
149,2023-10-11,Mumbai,Desktop,25-34,Female
150,2023-01-06,Delhi,Mobile,35-44,Male
151,2023-12-15,Pune,Desktop,18-24,Male
152,2023-02-28,Delhi,Mobile,18-24,Male
153,2023-12-16,Mumbai,Mobile,18-24,Female
154,2023-10-02,Bangalore,Mobile,25-34,Male
155,2023-05-17,Kolkata,Desktop,18-24,Female
156,2023-11-25,Delhi,Mobile,18-24,Female
157,2023-06-24,Chennai,Mobile,25-34,Male
158,2023-02-27,Hyderabad,Mobile,25-34,Male
159,2023-05-31,Delhi,Desktop,18-24,Male
160,2023-08-11,Hyderabad,Desktop,25-34,Male
161,2023-03-22,Delhi,Mobile,25-34,Male
162,2023-08-21,Chennai,Mobile,45+,Female
163,2023-01-02,Chennai,Mobile,25-34,Female
164,2023-05-15,Bangalore,Mobile,35-44,Male
165,2023-09-14,Mumbai,Desktop,25-34,Female
166,2023-04-02,Pune,Mobile,18-24,Female
167,2023-09-17,Delhi,Mobile,25-34,Female
168,2023-02-24,Mumbai,Mobile,35-44,Female
169,2023-11-17,Mumbai,Mobile,25-34,Female
170,2023-06-02,Chennai,Mobile,35-44,Male
171,2023-11-24,Chennai,Mobile,45+,Female
172,2023-09-17,Mumbai,Mobile,18-24,Female
173,2023-11-08,Bangalore,Mobile,18-24,Male
174,2023-04-12,Delhi,Mobile,18-24,Male
175,2023-03-20,Chennai,Mobile,25-34,Male
176,2023-07-11,Mumbai,Mobile,18-24,Male
177,2023-03-24,Chennai,Desktop,35-44,Male
178,2023-10-04,Delhi,Mobile,18-24,Female
179,2023-09-29,Kolkata,Mobile,25-34,Female
180,2023-01-01,Mumbai,Desktop,18-24,Male
181,2023-11-03,Delhi,Desktop,45+,Male
182,2023-06-15,Mumbai,Mobile,25-34,Female
183,2023-09-08,Kolkata,Mobile,45+,Male
184,2023-01-10,Pune,Mobile,45+,Male
185,2023-02-27,Delhi,Mobile,25-34,Female
186,2023-07-05,Chennai,Mobile,18-24,Male
187,2023-06-07,Hyderabad,Desktop,18-24,Male
188,2023-05-03,Bangalore,Desktop,18-24,Male
189,2023-01-30,Bangalore,Mobile,35-44,Female
190,2023-05-04,Delhi,Mobile,18-24,Female
191,2023-10-18,Mumbai,Mobile,18-24,Male
192,2023-02-10,Pune,Mobile,25-34,Male
193,2023-02-13,Pune,Mobile,25-34,Female
194,2023-09-06,Chennai,Desktop,25-34,Female
195,2023-02-05,Delhi,Mobile,25-34,Female
196,2023-09-30,Delhi,Desktop,35-44,Female
197,2023-03-06,Hyderabad,Desktop,25-34,Female
198,2023-03-07,Pune,Desktop,18-24,Female
199,2023-12-04,Pune,Mobile,35-44,Female
200,2023-09-01,Hyderabad,Mobile,45+,Female
201,2023-10-09,Chennai,Mobile,18-24,Female
202,2023-03-26,Mumbai,Mobile,25-34,Male
203,2023-05-16,Mumbai,Mobile,25-34,Female
204,2023-09-28,Pune,Mobile,18-24,Female
205,2023-11-07,Chennai,Mobile,35-44,Female
206,2023-08-05,Mumbai,Mobile,18-24,Male
207,2023-04-19,Mumbai,Desktop,35-44,Female
208,2023-10-04,Chennai,Mobile,25-34,Female
209,2023-12-20,Mumbai,Mobile,25-34,Male
210,2023-04-13,Mumbai,Mobile,18-24,Female
211,2024-01-01,Bangalore,Tablet,18-24,Female
212,2023-06-09,Chennai,Mobile,18-24,Male
213,2023-07-24,Chennai,Mobile,18-24,Male
214,2023-12-10,Delhi,Mobile,25-34,Female
215,2023-11-29,Hyderabad,Desktop,35-44,Male
216,2023-07-11,Delhi,Desktop,25-34,Male
217,2023-08-13,Delhi,Mobile,35-44,Male
218,2023-09-22,Hyderabad,Mobile,25-34,Male
219,2023-08-20,Chennai,Mobile,35-44,Male
220,2023-03-03,Pune,Mobile,45+,Male
221,2023-05-07,Chennai,Desktop,18-24,Female
222,2023-04-26,Bangalore,Desktop,35-44,Female
223,2023-02-02,Mumbai,Tablet,25-34,Female
224,2023-06-23,Delhi,Mobile,35-44,Male
225,2023-01-11,Delhi,Mobile,25-34,Male
226,2023-10-29,Delhi,Mobile,25-34,Male
227,2023-10-11,Kolkata,Desktop,18-24,Female
228,2023-04-28,Delhi,Desktop,18-24,Female
229,2023-10-29,Pune,Mobile,25-34,Female
230,2023-04-23,Chennai,Mobile,45+,Male
231,2023-01-04,Hyderabad,Mobile,35-44,Female
232,2023-02-06,Bangalore,Mobile,25-34,Female
233,2023-12-29,Bangalore,Desktop,35-44,Female
234,2023-11-20,Bangalore,Mobile,35-44,Male
235,2023-01-31,Mumbai,Desktop,18-24,Female
236,2023-04-28,Hyderabad,Mobile,18-24,Male
237,2023-02-04,Delhi,Desktop,18-24,Female
238,2023-01-17,Mumbai,Mobile,35-44,Male
239,2023-06-19,Chennai,Desktop,35-44,Male
240,2023-02-06,Mumbai,Mobile,18-24,Male
241,2023-09-21,Kolkata,Mobile,18-24,Female
242,2023-05-02,Kolkata,Mobile,35-44,Male
243,2023-05-23,Pune,Mobile,45+,Female
244,2023-12-09,Delhi,Mobile,35-44,Female
245,2023-09-06,Mumbai,Mobile,25-34,Female
246,2023-04-20,Kolkata,Tablet,18-24,Female
247,2023-10-04,Bangalore,Mobile,25-34,Female
248,2023-03-09,Kolkata,Desktop,18-24,Male
249,2023-10-20,Kolkata,Tablet,35-44,Male
250,2023-10-23,Pune,Mobile,25-34,Female
251,2023-08-31,Delhi,Desktop,35-44,Male
252,2023-05-05,Delhi,Mobile,25-34,Male
253,2023-08-31,Pune,Mobile,35-44,Female
254,2023-07-28,Delhi,Mobile,25-34,Female
255,2023-04-08,Mumbai,Tablet,25-34,Female
256,2023-02-18,Bangalore,Mobile,25-34,Female
257,2023-02-19,Kolkata,Mobile,18-24,Female
258,2023-12-04,Chennai,Mobile,45+,Male
259,2023-08-09,Bangalore,Desktop,25-34,Male
260,2023-07-01,Mumbai,Mobile,25-34,Female
261,2023-08-05,Chennai,Desktop,35-44,Male
262,2023-07-30,Kolkata,Desktop,35-44,Male
263,2023-08-28,Mumbai,Desktop,25-34,Female
264,2023-01-28,Bangalore,Tablet,45+,Male
265,2023-12-11,Pune,Desktop,18-24,Male
266,2023-12-01,Hyderabad,Mobile,18-24,Male
267,2023-11-27,Chennai,Mobile,25-34,Male
268,2023-02-20,Hyderabad,Mobile,25-34,Male
269,2023-02-01,Delhi,Mobile,25-34,Female
270,2023-07-26,Delhi,Mobile,25-34,Male
271,2023-06-23,Hyderabad,Mobile,25-34,Male
272,2023-02-25,Hyderabad,Mobile,35-44,Male
273,2023-05-08,Pune,Tablet,25-34,Male
274,2023-04-09,Pune,Mobile,45+,Female
275,2023-04-08,Bangalore,Desktop,35-44,Male
276,2023-10-02,Bangalore,Mobile,18-24,Other
277,2023-08-18,Hyderabad,Mobile,18-24,Male
278,2023-03-13,Chennai,Desktop,25-34,Female
279,2023-08-05,Hyderabad,Mobile,35-44,Male
280,2023-04-04,Hyderabad,Mobile,18-24,Male
281,2023-05-23,Pune,Mobile,18-24,Male
